i,d
b,i,o,i,d
d,a,t,e,_,o,f,_,b,i,r,t,h
324,P000609,1954-05-14
325,H001072,1956-12-05
326,W000821,1967-11-18
327,G000574,1979-11-20
328,D000623,1952-03-31
329,A000371,1979-06-19
330,L000582,1969-03-29
331,T000474,1965-04-04
332,B001297,1959-02-16
333,C001103,1957-09-06
334,H001071,1960-04-22
335,L000583,1963-12-22
336,A000372,1951-11-07
337,B001295,1960-12-30
338,A000374,1954-09-16
339,G000577,1972-01-31
340,M001196,1978-10-24
341,M001194,1961-05-08
342,D000624,1953-11-23
343,L000581,1954-10-18
344,E000294,1961-03-03
345,R000603,1972-02-16
346,W000822,1945-02-06
347,Z000017,1980-01-30
348,R000602,1965-02-15
349,S001196,1984-07-02
350,K000386,1962-11-09
351,B001296,1977-02-06
352,R000601,1965-10-20
353,H001073,1977-08-19
354,B001291,1948-03-23
355,B001292,1950-06-20
356,P000610,1966-05-13
357,N000189,1955-07-10
358,G000576,1955-07-03
359,M001195,1971-06-05
360,R000600,1947-12-29
361,S001198,1964-11-13
362,P000612,1949-12-10
363,E000295,1970-07-01
364,T000476,1960-08-30
365,R000605,1954-10-24
366,W000819,1969-05-20
367,S001197,1972-02-22
368,K000388,1966-03-01
369,L000585,1968-07-05
370,D000626,1970-03-01
371,C001108,1972-08-19
372,E000296,1954-05-16
373,H001075,1964-10-20
374,K000393,1951-11-21
375,H001076,1958-02-27
376,C001113,1964-03-29
377,S001190,1961-08-20
378,O000171,1946-01-24
379,B001302,1958-11-07
380,K000389,1976-09-13
381,P000613,1969-10-01
382,C001112,1964-11-18
383,B001300,1976-09-15
384,C001110,1958-01-24
385,B001303,1962-02-10
386,G000578,1982-05-07
387,D000628,1953-02-16
388,R000609,1952-09-02
389,L000586,1948-09-23
390,M001202,1978-09-16
391,S001200,1978-02-25
392,D000627,1957-03-12
393,C001111,1956-07-24
394,M001199,1980-07-10
395,R000607,1953-12-04
396,F000465,1966-11-15
397,K000391,1973-07-19
398,B001299,1979-07-16
399,H001074,1983-09-12
400,M001198,1960-08-09
401,H001077,1961-08-24
402,J000299,1972-01-30
403,B001304,1961-11-21
404,R000606,1962-12-13
405,B001301,1947-02-02
406,M001201,1961-05-08
407,B001305,1971-10-21
408,B001298,1963-08-16
409,G000583,1975-03-08
410,R000608,1957-08-02
411,S001201,1962-08-31
412,E000297,1954-09-27
413,F000466,1973-12-17
414,S001199,1964-01-23
415,G000582,1976-08-05
416,K000392,1966-10-08
417,G000581,1967-09-04
418,A000375,1972-03-09
419,M001200,1961-10-10
420,J000298,1965-09-21
421,G000579,1984-03-03
422,C001109,1966-07-28
423,E000298,1956-07-19
424,G000584,1961-04-17
425,N000190,1953-06-20
426,G000585,1974-11-25
427,C001114,1960-05-10
428,J000300,1954-05-04
429,S001203,1958-03-04
430,H001079,1959-05-10
431,L000588,1984-06-27
432,L000589,1958-11-14
433,C001115,1975-05-13
434,B001306,1962-01-16
435,H001082,1961-12-04
436,M001206,1957-04-29
437,S001205,1959-08-30
438,W000826,1957-06-07
439,C001055,1952-09-27
440,H001066,1973-04-29
441,K000368,1950-03-24
442,S001211,1970-03-08
443,H001090,1986-08-01
444,C001124,1963-07-18
445,C001123,1971-02-12
446,P000618,1974-01-03
447,R000616,1961-12-10
448,L000593,1978-10-28
449,N000191,1984-05-13
450,C001121,1979-03-15
451,H001081,1973-03-08
452,W000823,1974-01-31
453,S001210,1966-07-16
454,S001214,1978-05-19
455,M001207,1971-01-18
456,S001206,1941-02-14
457,M001208,1960-06-01
458,S001204,1981-01-30
459,F000467,1988-12-27
460,A000378,1965-04-20
461,F000469,1973-07-19
462,G000586,1956-04-12
463,C001117,1971-11-23
464,U000040,1986-10-04
465,B001307,1945-06-04
466,P000615,1956-11-14
467,W000824,1976-09-18
468,D000629,1980-05-22
469,T000482,1973-10-27
470,P000617,1974-02-03
471,T000483,1955-09-21
472,S001208,1976-07-10
473,L000592,1960-08-01
474,S001215,1983-06-24
475,T000481,1976-07-24
476,H001088,1962-08-04
477,C001119,1972-02-14
478,P000616,1969-01-20
479,O000173,1981-10-04
480,S001212,1966-05-10
481,G000591,1970-02-04
482,A000377,1976-10-08
483,P000614,1980-06-04
484,V000133,1953-02-23
485,K000394,1982-07-12
486,M001203,1965-09-23
487,S001207,1972-01-19
488,H001080,1960-12-02
489,T000484,1984-11-15
490,L000590,1966-11-07
491,R000613,1986-11-28
492,O000172,1989-10-13
493,D000630,1977-01-19
494,B001308,1978-11-22
495,G000588,1984-09-19
496,H001083,1976-06-09
497,D000631,1959-06-06
498,H001085,1967-06-05
499,M001204,1964-02-10
500,J000302,1957-02-08
501,R000610,1983-04-17
502,C001122,1982-05-26
503,T000480,1984-04-30
504,J000301,1976-09-30
505,B001309,1964-08-25
506,R000612,1965-02-23
507,G000590,1964-11-08
508,C001120,1984-03-14
509,T000479,1972-08-01
510,G000589,1982-12-01
511,W000827,1953-04-08
512,F000468,1975-02-13
513,E000299,1969-09-15
514,R000614,1972-08-07
515,G000587,1950-09-06
516,A000376,1983-04-15
517,M001209,1974-12-05
518,L000591,1975-08-15
519,R000611,1970-03-01
520,C001118,1972-02-29
521,S001209,1979-08-07
522,W000825,1968-05-27
523,S001216,1968-08-23
524,S001213,1981-03-30
525,M001205,1950-11-04
526,S001217,1952-12-01
527,B001310,1954-03-24
528,H001089,1979-12-31
529,R000615,1947-03-12
530,M001197,1966-03-22
531,G000592,1982-07-25
532,K000395,1965-10-23
533,B001311,1964-07-01
534,M001210,1963-03-05
535,L000594,1970-11-27
536,M000687,1948-10-24
537,T000165,1957-12-30
538,G000061,1976-04-24
539,M000835,1906-12-07
540,B000934,1900-02-01
541,C000172,1900-03-28
542,S000431,1905-01-07
543,E000006,1907-05-28
544,H000749,1905-06-19
545,M000848,1906-03-26
546,Z000011,1901-12-05
547,A000088,1900-02-15
548,B000598,1900-01-15
549,E000111,1900-04-03
550,F000195,1900-10-21
551,K000072,1900-12-12
552,O000024,1909-06-14
553,O000087,1903-03-24
554,O000094,1903-07-10
555,S000165,1903-03-21
556,T000354,1903-01-12
557,W000221,1903-01-10
558,A000145,1902-08-24
559,B001218,1903-08-15
560,C000428,1902-04-02
561,F000082,1903-08-15
562,G000303,1905-05-23
563,R000555,1907-05-26
564,W000364,1901-01-03
565,G000159,1901-03-06
566,B001222,1903-10-25
567,D000108,1905-10-31
568,D000475,1900-04-11
569,E000107,1907-06-14
570,E000132,1908-12-21
571,F000258,1903-12-21
572,H000231,1903-05-16
573,H000709,1906-06-21
574,M000018,1902-08-17
575,M000297,1903-06-29
576,M000484,1904-12-17
577,S000008,1902-10-07
578,S000532,1911-09-25
579,S000572,1904-01-25
580,T000153,1903-10-18
581,V000121,1901-07-02
582,B000099,1905-11-03
583,C000132,1901-03-06
584,C000795,1903-01-15
585,D000349,1903-11-01
586,G000014,1900-10-30
587,J000073,1901-12-26
588,M000579,1901-03-03
589,M001058,1903-11-06
590,R000406,1911-10-20
591,S000798,1909-08-14
592,T000384,1905-01-13
593,W000762,1902-08-11
594,H000080,1901-03-11
595,B000191,1902-07-21
596,B000640,1909-05-11
597,B001061,1906-08-12
598,C000115,1904-05-22
599,D000206,1910-05-09
600,E000016,1900-04-13
601,E000210,1901-03-03
602,G000117,1901-08-11
603,H000426,1905-08-09
604,L000497,1903-03-10
605,M000451,1904-11-07
606,M001099,1902-04-26
607,M001127,1901-12-18
608,O000137,1906-10-08
609,P000498,1902-03-05
610,Q000019,1904-05-10
611,R000565,1914-02-04
612,S000080,1906-04-12
613,S000342,1902-09-15
614,S000481,1905-07-17
615,T000018,1901-03-18
616,T000079,1904-04-12
617,V000118,1901-04-06
618,W000183,1904-12-02
619,W000257,1902-04-15
620,C000021,1906-01-10
621,T000008,1903-07-19
622,B000379,1914-06-06
623,B000891,1901-10-08
624,C000939,1902-01-22
625,D000007,1903-08-01
626,D000280,1911-05-05
627,D000406,1907-01-06
628,E000159,1904-03-10
629,F000199,1902-12-15
630,G000384,1905-07-31
631,H000212,1905-08-06
632,H000298,1902-02-22
633,H000492,1903-09-24
634,H000863,1905-09-21
635,I000046,1910-04-20
636,J000133,1911-09-11
637,J000249,1907-06-25
638,L000394,1902-07-05
639,L000454,1901-01-23
640,M000027,1906-04-22
641,M000094,1902-01-03
642,M000422,1902-11-06
643,M000456,1903-11-28
644,M000560,1915-03-19
645,M000617,1907-04-04
646,M000619,1912-01-18
647,M000809,1910-12-02
648,N000121,1916-03-23
649,P000182,1914-06-28
650,P000387,1907-01-07
651,P000471,1906-03-12
652,R000137,1906-05-31
653,R000522,1903-12-27
654,S000063,1919-09-30
655,S000156,1905-12-06
656,S000163,1909-05-10
657,S000998,1914-02-26
658,S001076,1901-01-05
659,Y000058,1907-08-07
660,B000399,1900-04-01
661,B000448,1906-07-23
662,B001100,1904-05-06
663,C000347,1916-03-09
664,C000586,1918-10-21
665,D000071,1902-08-22
666,D000089,1920-05-01
667,D000454,1900-11-25
668,G000219,1901-06-07
669,G000331,1906-06-22
670,G000521,1909-09-08
671,H000202,1918-09-04
672,H000898,1903-06-29
673,J000034,1906-02-22
674,K000012,1902-12-31
675,K000334,1918-10-22
676,L000301,1910-03-28
677,L000395,1903-10-20
678,M000122,1902-12-10
679,M000144,1904-05-09
680,N000129,1920-04-22
681,P000286,1907-05-29
682,P000306,1910-03-29
683,S000011,1903-03-12
684,S000439,1921-10-14
685,W000019,1908-04-27
686,W000100,1913-05-22
687,W000359,1900-12-12
688,W000582,1905-08-21
689,W000744,1908-10-10
690,A000196,1904-03-22
691,B000080,1912-08-09
692,B000792,1908-06-10
693,B001002,1902-12-01
694,B001039,1903-08-13
695,C000504,1908-06-10
696,C000606,1901-10-13
697,F000431,1911-07-29
698,G000338,1902-01-27
699,H000050,1909-02-11
700,H000060,1900-10-02
701,J000080,1907-07-27
702,L000318,1900-10-17
703,M000455,1902-05-15
704,M000465,1906-02-28
705,M000528,1906-02-05
706,M000559,1903-10-06
707,M000577,1902-12-06
708,M000814,1907-03-22
709,M000878,1902-02-13
710,O000133,1902-08-01
711,P000327,1906-08-14
712,Q000021,1903-03-16
713,R000104,1901-09-24
714,R000453,1903-06-04
715,S000172,1907-06-07
716,S000214,1909-12-11
717,S000461,1908-04-21
718,S000936,1901-04-12
719,T000005,1911-05-09
720,W000269,1906-12-11
721,W000298,1905-09-13
722,W000348,1901-10-31
723,P000460,1916-10-30
724,B000242,1912-05-10
725,B000618,1904-12-23
726,B000762,1901-04-25
727,C000674,1912-11-10
728,D000036,1910-10-10
729,H000014,1901-11-10
730,H000460,1905-02-10
731,H000616,1919-03-09
732,H000858,1904-04-23
733,H000979,1916-06-15
734,J000093,1908-07-21
735,K000150,1902-05-26
736,K000292,1908-06-26
737,L000089,1913-07-31
738,L000496,1908-05-01
739,L000525,1910-09-04
740,M000315,1908-11-14
741,M000656,1912-11-22
742,O000009,1900-01-01
743,O000004,1903-09-04
744,P000107,1907-10-06
745,P000150,1904-07-24
746,R000425,1914-08-17
747,S001006,1922-09-24
748,S001087,1915-10-31
749,W000123,1916-09-21
750,W000342,1915-07-11
751,W000604,1901-03-18
752,Y000024,1909-10-01
753,B000913,1903-09-25
754,B000342,1910-05-15
755,B001009,1902-07-20
756,B001131,1902-08-23
757,C000743,1903-04-15
758,C000960,1917-02-13
759,D000083,1906-01-02
760,F000085,1902-01-17
761,F000126,1903-09-14
762,F000179,1918-04-16
763,F000356,1903-03-07
764,H000154,1902-07-07
765,J000263,1914-01-26
766,K000261,1904-08-08
767,L000468,1904-01-30
768,M001107,1917-05-16
769,N000031,1907-07-02
770,N000053,1912-12-26
771,P000536,1900-04-01
772,T000408,1913-03-02
773,V000082,1910-04-01
774,Y000032,1922-11-07
775,L000025,1916-06-02
776,W000666,1908-09-27
777,B000964,1914-02-05
778,C000182,1901-02-23
779,C000189,1901-07-30
780,C000386,1907-11-15
781,C000617,1904-04-18
782,D000155,1903-11-05
783,D000219,1907-06-23
784,D000246,1918-07-29
785,D000278,1903-02-20
786,D000338,1900-11-05
787,G000129,1900-01-06
788,H000318,1921-05-27
789,H000502,1903-06-25
